,Unnamed: 0,joined,kind,link,location,market,name,,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following
2360,2360,10/1/2013,Startup,https://angel.co/company/oozo,São Paulo,Mobile Advertising,OOZO.tv DOOH Plug &amp; Play,,500000,10-Jan,Seed,oozo.tv,6.208219178,80538.39365,0,0,5,326,460
2361,2361,9/1/2015,Startup,https://angel.co/company/obrussa,Bristol,K-12 Education,Obrussa,,327500,10-Jan,Seed,obrussa.com,4.290410959,76333.01405,0,0,5,0,0
2364,2364,9/1/2015,Startup,https://angel.co/company/oddnetworks,Los Angeles,Video Streaming,Odd Networks,,250000,10-Jan,Seed,oddnetworks.com,4.290410959,58269.47637,0,0,5,0,0
2366,2366,11/1/2011,Startup,https://angel.co/company/offersavvy,Long Beach,SaaS,OfferSavvy,,833000,10-Jan,Seed,offersavvy.com,8.126027397,102510.1146,0,0,5,28,57
2368,2368,10/1/2012,Startup,https://angel.co/company/offerial,Greece,Hospitality,Offerial,,480000,10-Jan,Seed,offerial.com,7.208219178,66590.64994,0,0,5,123,73
2369,2369,11/1/2013,Startup,https://angel.co/company/officehours,Atlanta,Universities,OfficeHours,,500000,10-Jan,Seed,officehours.co,6.123287671,81655.48098,0,0,5,0,0
2370,2370,7/1/2013,Startup,https://angel.co/company/officevibe,Montreal,Human Resources,Officevibe,,1000000,Nov-50,Seed,officevibe.com,6.460273973,154792.1968,0,0,25,53.9K,"9,248"
2371,2371,6/1/2015,Startup,https://angel.co/company/oh-my-green,Palo Alto,B2B,Oh My Green,,20000000,201-500,Seed,ohmygreen.com,4.542465753,4402895.054,1,1,350,0,1
2372,2372,9/1/2011,Startup,https://angel.co/company/oi-furniture,Winnipeg,Hospitality,Oi Furniture,,150000,10-Jan,Seed,ilikeoi.com,8.293150685,18087.21506,0,0,5,"1,187","1,296"
2373,2373,2/1/2017,Startup,https://angel.co/company/okletsplay,San Francisco Bay Area,Mobile Games,OkLetsPlay,,890000,10-Jan,Seed,okletsplay.com,2.868493151,310267.4308,0,0,5,184,271
2377,2377,4/1/2016,Startup,https://angel.co/company/myollie,New York City,Pets,Ollie,,17000000,51-200,Series A,myollie.com,3.706849315,4586104.952,1,1,125,"1,023","1,015"
2380,2380,11/1/2013,Startup,https://angel.co/company/ometria,London,Retail Technology,Ometria,,5100000,51-200,Seed,ometria.com,6.123287671,832885.906,1,0,125,"2,680","2,210"
2381,2381,11/1/2013,Startup,https://angel.co/company/getomnify,San Francisco,SaaS,Omnify,,200000,Nov-50,Seed,getomnify.com,6.123287671,32662.19239,0,0,25,"3,321",475
2383,2383,5/1/2019,Startup,https://angel.co/company/onhand,Boston,University Students,OnHand,,700000,10-Jan,Seed,getonhand.com,0.624657534,1120614.035,0,0,5,"1,126",396
2384,2384,7/1/2013,Startup,https://angel.co/company/one-click,Williamsport,Consumer Electronics,One Click,,850000,10-Jan,Seed,oneclickllc.com,6.460273973,131573.3673,0,0,5,0,0
2385,2385,4/1/2013,Startup,https://angel.co/company/one-spear-entertainment,San Francisco,Mobile Games,One Spear Entertainment,,150000,10-Jan,Seed,onespear.com,6.709589041,22356.0637,0,0,5,0,0
2388,2388,8/1/2013,Startup,https://angel.co/company/onelocal,Toronto,Local Businesses,OneLocal (YC S17),,1275000,51-200,Seed,onelocal.com,6.375342466,199989.2566,0,0,125,605,"1,263"
2391,2391,3/1/2014,Startup,https://angel.co/company/onelife-me,Hamburg,Women-Focused,Onelife Health,,1500000,10-Jan,Seed,onelife.me,5.794520548,258865.2482,0,0,5,316,126
2392,2392,7/1/2012,Startup,https://angel.co/company/onfleet,San Francisco,Logistics,Onfleet,,4920000,Nov-50,Seed,onfleet.com,7.460273973,659493.206,1,0,25,"1,910",791
2397,2397,9/1/2013,Startup,https://angel.co/company/openinfluence,New York City,Social Media,Open Influence,,3000000,51-200,Series A,openinfluence.com,6.290410959,476916.3763,1,0,125,0,0
2398,2398,3/1/2015,Startup,https://angel.co/company/opendna,Singapore,Big Data,OpenDNA,,1100000,Nov-50,Seed,opendna.ai,4.794520548,229428.5714,0,0,25,889,951
2399,2399,11/1/2013,Startup,https://angel.co/company/opened,Silicon Valley,K-12 Education,OpenEd,,2000000,Nov-50,Seed,opened.com,6.123287671,326621.9239,0,0,25,0,0
2402,2402,3/1/2013,Startup,https://angel.co/company/openlearning,Sydney,SaaS,OpenLearning,,8900000,51-200,Series A,openlearning.com,6.794520548,1309879.032,1,0,125,"3,935","2,034"
2403,2403,11/1/2013,Startup,https://angel.co/company/openprof-com,Ljubljana,Crowdsourcing,OpenProf.com,,135000,10-Jan,Seed,openprof.com,6.123287671,22046.97987,0,0,5,29,38
2404,2404,3/1/2013,Startup,https://angel.co/company/opensearchserver-1,Paris,Open Source,OpenSearchServer,,300000,10-Jan,Seed,open-search-server.com,6.794520548,44153.22581,0,0,5,174,62
2405,2405,11/1/2010,Startup,https://angel.co/company/opensignal,London,Maps,OpenSignal,,5300000,Nov-50,Series A,opensignal.com,9.126027397,580756.5296,1,0,25,"6,496","1,435"
2408,2408,3/1/2013,Startup,https://angel.co/company/operating-analytics,Cambridge,Hospitals,Operating Analytics,,50000,10-Jan,Seed,operatinganalytics.com,6.794520548,7358.870968,0,0,5,144,257
2409,2409,4/1/2013,Startup,https://angel.co/company/opiatalk,Baltimore,SaaS,OpiaTalk,,250000,10-Jan,Seed,OpiaTalk.com,6.709589041,37260.10617,0,0,5,534,375
2410,2410,7/1/2015,Startup,https://angel.co/company/opinioapp,Delhi,Hyperlocal,Opinio,,8300000,201-500,Seed,opinioapp.com,4.460273973,1860872.236,1,0,350,0,0
2414,2414,12/1/2015,Startup,https://angel.co/company/oqoon,Amsterdam,Video Streaming,Oqoon,,200000,10-Jan,Seed,oqoon.com,4.04109589,49491.52542,0,0,5,46,37
2415,2415,5/1/2013,Startup,https://angel.co/company/orangetwig,San Francisco,Small and Medium Businesses,OrangeTwig,,1125000,10-Jan,Seed,orangetwig.com,6.62739726,169749.8967,0,0,5,0,0
2416,2416,6/1/2014,Startup,https://angel.co/company/oration,Foster City,Big Data Analytics,Oration,,11200000,Nov-50,Series A,oration.com,5.542465753,2020761.246,1,0,25,0,0
2422,2422,3/1/2013,Startup,https://angel.co/company/oriental-medway,New Castle,Personal Health,Oriental Medway,,500000,10-Jan,Seed,orientalmedway.com,6.794520548,73588.70968,0,0,5,0,0
2427,2427,12/1/2016,Startup,https://angel.co/company/aisense,Los Altos,Mobile,Otter.ai,,10000000,Nov-50,Series A,otter.ai,3.038356164,3291253.381,1,0,25,0,0
2428,2428,11/1/2012,Startup,https://angel.co/company/otterology,Minneapolis,Retail Technology,Otterology,,425000,10-Jan,Seed,otterology.com,7.123287671,59663.46154,0,0,5,668,"1,484"
2429,2429,5/1/2013,Startup,https://angel.co/company/otus-labs,Sheffield,Personalization,Otus Labs,,122000,10-Jan,Seed,OtusLabs.com,6.62739726,18408.43324,0,0,5,130,215
2430,2430,4/1/2015,Startup,https://angel.co/company/our-little-foxes,Sydney,Families,Our Little Foxes,,130000,10-Jan,Seed,ourlittlefoxes.com,4.709589041,27603.25771,0,0,5,186,284
2432,2432,3/1/2012,Startup,https://angel.co/company/outtrippin,San Francisco,Crowdsourcing,OutTrippin,,20000,10-Jan,Seed,OutTrippin.com,7.794520548,2565.905097,0,0,5,"1,294","1,221"
2434,2434,11/1/2013,Startup,https://angel.co/company/outleads,New York City,Lead Generation,Outleads,,30000,10-Jan,Seed,outleads.com,6.123287671,4899.328859,0,0,5,182,160
2440,2440,12/1/2014,Startup,https://angel.co/company/takipi,San Francisco,Developer Tools,OverOps,,19500000,51-200,Series A,overops.com,5.04109589,3868206.522,1,1,125,"9,939","4,458"
2441,2441,10/1/2012,Startup,https://angel.co/company/overcart,Delhi,Robotics,Overcart,,3500000,51-200,Series A,overcart.com,7.208219178,485556.8225,1,0,125,"1,617","1,270"
2444,2444,9/1/2012,Startup,https://angel.co/company/oximity,Palo Alto,Crowdsourcing,Oximity (acquired by Scribd),,600000,Nov-50,Seed,oximity.com,7.290410959,82299.88726,0,0,25,41.2K,32.1K
2448,2448,8/1/2013,Startup,https://angel.co/company/parachute,Los Angeles,Interior Design,PARACHUTE,,10000000,51-200,Series A,parachutehome.com,6.375342466,1568543.189,1,0,125,"4,199",649
2449,2449,2/1/2014,Startup,https://angel.co/company/pcb-team,Toulouse,Mobile Games,PCB Team,,400000,10-Jan,Seed,pcb-team.com,5.871232877,68128.79141,0,0,5,0,0
2450,2450,2/1/2014,Startup,https://angel.co/company/pdx-biotech-2,Lexington,Veterinary,PDx BioTech,,13800000,10-Jan,Seed,perio-dx.com;,5.871232877,2350443.304,1,1,5,0,0
2451,2451,6/1/2014,Startup,https://angel.co/company/pfitr,St. Louis,Finance Technology,PFITR,,336000,10-Jan,Seed,pfitr.com,5.542465753,60622.83737,0,0,5,0,0
2452,2452,10/1/2015,Startup,https://angel.co/company/phr,Phoenix,Internet of Things,PHR Plus,,1360000,10-Jan,Seed,phrplus.com,4.208219178,323177.0833,0,0,5,481,657
2453,2453,8/1/2013,Startup,https://angel.co/company/plae,San Francisco,Kids,PLAE,,10900000,Nov-50,Seed,goplae.com,6.375342466,1709712.076,1,0,25,"2,238",499
2455,2455,4/1/2014,Startup,https://angel.co/company/projekt-313,Chester,Comparison Shopping,PROJEKT 313,,140000,10-Jan,Seed,bikmo.com,5.709589041,24520.15355,0,0,5,"2,385",201
2456,2456,8/1/2015,Startup,https://angel.co/company/proonto,Israel,Small and Medium Businesses,PROONTO,,860000,Nov-50,Seed,proonto.com,4.375342466,196556.0426,0,0,25,"1,386","1,036"
2458,2458,6/1/2013,Startup,https://angel.co/company/planetrainauto,New York City,Online Video Advertising,PTA (PlanesTrains+Automobiles),,750000,10-Jan,Seed,thepta.com,6.542465753,114635.6784,0,0,5,459,156
2459,2459,12/1/2013,Startup,https://angel.co/company/publicfast,San Francisco,Advertising Platforms,PUBLICFAST,,300000,10-Jan,Seed,publicfast.com,6.04109589,49659.86395,0,0,5,0,0
